Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","MMDT2222A","SOT-363_SC-70-6",129.250000,-63.950000,0.000000,top
"Q2","MMDT2222A","SOT-363_SC-70-6",139.550000,-63.950000,0.000000,top
"Q3","MMDT2222A","SOT-363_SC-70-6",175.650000,-63.800000,0.000000,top
"Q4","MMDT2222A","SOT-363_SC-70-6",185.350000,-63.800000,0.000000,top
"Q5","MMDT2222A","SOT-363_SC-70-6",134.450000,-63.950000,0.000000,top
"Q6","MMDT2222A","SOT-363_SC-70-6",180.650000,-63.800000,0.000000,top
"Q7","MMDT2222A","SOT-363_SC-70-6",164.950000,-45.400000,180.000000,top
"Q8","MMDT2222A","SOT-363_SC-70-6",185.425000,-45.950000,180.000000,top
"Q9","MMDT2222A","SOT-363_SC-70-6",129.150000,-46.000000,180.000000,top
"Q10","MMDT2222A","SOT-363_SC-70-6",146.700000,-45.850000,0.000000,top
"R1","12k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",170.800000,-46.912500,90.000000,top
"R2","12k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",175.300000,-46.912500,-90.000000,top
"R3","12k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",178.300000,-46.912500,-90.000000,top
"R4","12k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",181.300000,-46.912500,-90.000000,top
"R5","12k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.400000,-46.887500,-90.000000,top
"R6","12k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.400000,-46.887500,-90.000000,top
"R7","12k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.900000,-46.912500,-90.000000,top
"R8","12k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.900000,-46.937500,-90.000000,top
"R17","2k4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",164.987500,-47.600000,0.000000,top
"R18","2k4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",164.987500,-49.200000,0.000000,top
"R19","2k4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.387500,-50.000000,0.000000,top
"R20","2k4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",185.387500,-48.400000,0.000000,top
"R21","2k4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.187500,-49.850000,180.000000,top
"R22","2k4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.212500,-48.250000,180.000000,top
"R23","2k4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.687500,-48.000000,180.000000,top
"R24","2k4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",146.687500,-49.500000,180.000000,top
"R25","12k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.487500,-44.400000,180.000000,top
"R26","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.187500,-67.400000,180.000000,top
"R27","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",167.987500,-67.400000,0.000000,top
"R28","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.512500,-67.400000,180.000000,top
"R29","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",171.287500,-67.400000,0.000000,top
"R30","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.900000,-67.400000,180.000000,top
"R31","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",174.587500,-67.400000,0.000000,top
"R32","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.212500,-67.400000,180.000000,top
"R33","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",177.900000,-67.400000,0.000000,top
"R34","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.600000,-67.400000,180.000000,top
"R35","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",181.200000,-67.400000,0.000000,top
"R36","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",145.900000,-67.400000,180.000000,top
"R37","56k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",184.587500,-67.400000,0.000000,top
